language,model,chrf,comet,disagree,abs_disagree,outlier_rank_abs,worst_unit_id_by_y,worst_sys_excerpt,worst_ref_excerpt
ukrainian,gpt-5-2,44.46501353198389,79.75579977035522,2.277906625947261,2.277906625947261,2,2,"Ваш PVD змінився Ви отримуєте допомогу WAO/WIA. UWV надало нам нову інформацію про вашу допомогу WAO/WIA. У наведеному нижче огляді ви прочитаєте, що це означає для вас.","У Вашій PVD відбулися зміни. Вам було призначено допомогу, обумовлену Законом «Про роботу та доходи за працездатністю». Інститутом нам було надано оновлену інформацію щодо призначеної Вам допомоги, обумовленої Законом «Про роботу та доходи …"
ukrainian,azure-translator,37.087474295517424,77.41236925125122,1.742461695324234,1.742461695324234,3,2,"Ваш PVD змінився У вас є пільга WAO/WIA. UWV надав нам нову інформацію про вашу допомогу WAO/WIA. В огляді нижче ви можете прочитати, що це означає для вас.","У Вашій PVD відбулися зміни. Вам було призначено допомогу, обумовлену Законом «Про роботу та доходи за працездатністю». Інститутом нам було надано оновлену інформацію щодо призначеної Вам допомоги, обумовленої Законом «Про роботу та доходи …"
english,deepl,60.25765015939525,81.09628677368164,1.1743627671658496,1.1743627671658496,6,2,Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. The overview below explains what this means for you.,Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,gpt-4,57.06627239564387,80.39471745491028,1.16865265418775,1.16865265418775,7,2,"Your PVD has changed You are receiving a WAO/WIA benefit. The UWV has provided us with new information about your benefit. In the summary below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
turkish,azure-translator,45.91853689039069,79.17452096939087,1.0115870904843716,1.0115870904843716,9,4,İş göremezliğinizdeki değişiklikleri kendiniz bildirmelisiniz UWV'den yeni bir mektup aldınız mı? O zaman bize bu mektubun bir kopyasını göndermelisiniz. Primin ödediğimiz kısmı daha sonra değişecektir.,"İş göremezlik durumunuzdaki değişiklikleri bildirmekle yükümlüsünüz. UWV'den tarafınıza yeni bir yazı gönderilmesi durumunda, bu yazının bir kopyasını tarafımıza göndermeniz gerekecektir. Sonrasında, tarafımızca ödenecek katkı miktarı …"
ukrainian,meta-llama-3-1-8b-instruct,34.64875246963997,81.90774083137512,-2.5117454783841016,2.5117454783841016,1,1,"Ви створюєте ‘премієвільний пенсійний капітал’ серед нас Це відбувається тому, що ви не працюєте через хворобу. І тому, що ви отримуєте виплату за працездатність від UWV. Тому ми виплачуватимемо (частину) вашої пенсійної премії. Це називаєт…","Вами в нас здійснюються накопичення за «пенсійною програмою зі звільненням від сплати внесків» Це відбувається в зв'язку з тим, що Ви є непрацездатною особою. А також в зв'язку з тим, що Ви отримуєте від Інституту допомогу, обумовлену Закон…"
english,azure-translator,56.93518028607786,81.65544629096985,-1.2372848936343095,1.2372848936343095,4,2,"Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,meta-llama-3-1-405b-instruct,57.05084178434859,81.6522765159607,-1.1837310172008253,1.1837310172008253,5,2,"Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
spanish,google-translate,57.012860409421194,81.30103468894958,-1.0708742423803321,1.0708742423803321,8,0,Hemos recibido información de la Agencia de Seguros para Empleados (UWV). Esta información de la UWV se refiere a su discapacidad. Esta carta explica qué significa esto para usted.,Hemos recibido información del Servicio Público de Empleo de los Países Bajos (UWV). Esta información del UWV se refiere a su incapacidad laboral. En esta carta podrá leer lo que esto significa para usted.
english,llama-3-3-70b-instruct,56.857409026639274,81.43434166908264,-0.8568388647122531,0.8568388647122531,10,2,"Your PVD has changed You have a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
